kod,vyucujici,role,uci_v_zs,obdobi_pocet,prvni_rok,posledni_rok,roky,obdobi,odpovedi,prumer_vyucujici,prumer_predmet,komentaru,zdroj
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,0,4,2015,2018,2015Z|2016Z|2017Z|2018Z,2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní,25,,,0,anketa_cisla
NAIL060,"RNDr. Petr Božovský, CSc.",cvičení,0,3,2015,2017,2015Z|2016Z|2017Z,2015 / zimní|2016 / zimní|2017 / zimní,18,,,0,anketa_cisla
NAIL065,,přednáška,0,0,2022,2022,2022,,0,,,1,komentare
NAIL065,"RNDr. František Mráz, CSc.",cvičení,0,3,2013,2015,2013L|2014L|2015L,2013 / letní|2014 / letní|2015 / letní,22,,,0,anketa_cisla
NAIL065,"RNDr. František Mráz, CSc.",přednáška,0,3,2013,2015,2013L|2014L|2015L,2013 / letní|2014 / letní|2015 / letní,17,,,1,anketa_cisla
NAIL069,"RNDr. Jiří Švancara, Ph.D.",cvičení,1,5,2021,2025,2021Z|2022Z|2023Z|2024Z|2025Z,2021 / zimní|2022 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,61,,"1,45",9,anketa_cisla
NAIL069,"prof. RNDr. Roman Barták, Ph.D.",přednáška,1,18,2007,2025,2007Z|2008Z|2010Z|2011Z|2012Z|2013Z|2014Z|2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2021Z|2022Z|2023Z|2024Z|2025Z,2007 / zimní|2008 / zimní|2010 / zimní|2011 / zimní|2012 / zimní|2013 / zimní|2014 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2022 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,263,,"1,37",9,anketa_cisla
NAIL069,"RNDr. Jiří Fink, Ph.D.",cvičení,1,1,2021,2021,2021Z,2021 / zimní,10,,"2,00",1,anketa_cisla
NAIL069,Mestek Jakub,cvičení,1,0,,,,,0,,,0,rozvrh
NAIL069,,cvičení,0,0,2023,2025,2023|2024|2025,,0,,,10,komentare
NAIL069,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,8,komentare
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",cvičení,0,11,2015,2025,2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2021Z|2022Z|2023Z|2024Z|2025Z,2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2022 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,180,,,0,anketa_cisla
NAIL069,"Mgr. Marta Vomlelová, Ph.D.",přednáška,0,12,2004,2025,2004Z|2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2021Z|2022Z|2023Z|2024Z|2025Z,2004 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2022 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,191,,,0,anketa_cisla
NAIL069,"Adam Dingle, M.Sc.",cvičení,0,3,2018,2020,2018Z|2019Z|2020Z,2018 / zimní|2019 / zimní|2020 / zimní,32,,"1,11",0,anketa_cisla
NAIL069,"RNDr. Ing. Otakar Trunda, Ph.D.",cvičení,0,4,2016,2020,2016Z|2018Z|2019Z|2020Z,2016 / zimní|2018 / zimní|2019 / zimní|2020 / zimní,33,,"1,81",0,anketa_cisla
NAIL069,"Mgr. Jakub Gemrot, Ph.D.",cvičení,0,3,2015,2017,2015Z|2016Z|2017Z,2015 / zimní|2016 / zimní|2017 / zimní,42,,"1,69",0,anketa_cisla
NAIL070,,přednáška,0,0,2024,2024,2024,,0,,,3,komentare
NAIL070,"Mgr. Marta Vomlelová, Ph.D.",přednáška,0,8,2004,2024,2004L|2015L|2016L|2017L|2018L|2019L|2020L|2024L,2004 / letní|2015 / letní|2016 / letní|2017 / letní|2018 / letní|2019 / letní|2020 / letní|2024 / letní,73,,,0,anketa_cisla
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,0,11,2010,2024,2010L|2011L|2013L|2014L|2015L|2016L|2017L|2018L|2019L|2020L|2024L,2010 / letní|2011 / letní|2013 / letní|2014 / letní|2015 / letní|2016 / letní|2017 / letní|2018 / letní|2019 / letní|2020 / letní|2024 / letní,123,,"1,29",1,anketa_cisla
NAIL086,,cvičení,0,0,2024,2024,2024,,0,,,1,komentare
NAIL086,"Mgr. Roman Neruda, CSc.",přednáška,0,8,2009,2019,2009L|2011L|2013L|2014L|2015L|2017L|2018L|2019L,2009 / letní|2011 / letní|2013 / letní|2014 / letní|2015 / letní|2017 / letní|2018 / letní|2019 / letní,58,,"1,28",0,anketa_cisla
NAIL086,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,0,6,2013,2019,2013L|2014L|2015L|2017L|2018L|2019L,2013 / letní|2014 / letní|2015 / letní|2017 / letní|2018 / letní|2019 / letní,50,,,0,anketa_cisla
