kod,vyucujici,role,uci_v_zs,obdobi_pocet,prvni_rok,posledni_rok,roky,obdobi,odpovedi,prumer_vyucujici,prumer_predmet,komentaru,zdroj
NPFL140,"Mgr. Jindřich Libovický, Ph.D.",cvičení,0,1,2023,2023,2023L,2023 / letní,5,,,0,anketa_cisla
NPFL147,"Mgr. Jindřich Helcl, Ph.D.",cvičení,1,1,2025,2025,2025Z,2025 / zimní,8,,"2,25",3,anketa_cisla
NPFL147,"doc. RNDr. Pavel Pecina, Ph.D.",přednáška,1,1,2025,2025,2025Z,2025 / zimní,9,,,2,anketa_cisla
NPFL147,,cvičení,0,0,2025,2025,2025,,0,,,4,komentare
NPFL147,,přednáška,0,0,2025,2025,2025,,0,,,3,komentare
NPFL147,"doc. RNDr. Pavel Pecina, Ph.D.",cvičení,0,1,2025,2025,2025Z,2025 / zimní,10,,,2,anketa_cisla
NPGR002,"prof. Ing. Jan Flusser, DrSc.",přednáška,1,11,2003,2022,2003Z|2005Z|2009Z|2013Z|2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2022Z,2003 / zimní|2005 / zimní|2009 / zimní|2013 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2022 / zimní,97,,,5,anketa_cisla
NPGR002,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,7,komentare
NPGR035,"Kassem Anis Bouali, M.Sc.",cvičení,1,0,2025,2025,2025,,0,,,1,komentare
NPGR035,"doc. RNDr. Elena Šikudová, Ph.D.",přednáška,1,3,2022,2025,2022Z|2024Z|2025Z,2022 / zimní|2024 / zimní|2025 / zimní,16,,,3,anketa_cisla
NPGR035,,přednáška,0,0,2024,2025,2024|2025,,0,,,3,komentare
NPGR035,Mgr. Matúš Goliaš,cvičení,0,0,2023,2025,2023|2024|2025,,0,,,4,komentare
NPGR035,"doc. RNDr. Elena Šikudová, Ph.D.",cvičení,0,2,2022,2025,2022Z|2025Z,2022 / zimní|2025 / zimní,10,,,1,anketa_cisla
NPGR035,,cvičení,0,1,2022,2022,2022Z,2022 / zimní,5,,"1,20",2,anketa_cisla
NPGR036,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,4,komentare
NPGR036,Mgr. Matúš Goliaš,cvičení,0,0,2023,2025,2023|2024|2025,,0,,,4,komentare
NPGR036,,cvičení,0,2,2021,2024,2021L|2024L,2021 / letní|2024 / letní,12,,"1,83",4,anketa_cisla
NPGR036,"doc. RNDr. Elena Šikudová, Ph.D.",cvičení,0,2,2021,2024,2021L|2024L,2021 / letní|2024 / letní,16,,,1,anketa_cisla
NPGR036,"doc. RNDr. Elena Šikudová, Ph.D.",přednáška,0,2,2021,2024,2021L|2024L,2021 / letní|2024 / letní,17,,,4,anketa_cisla
NPRG070,Bednárek David,cvičení,1,0,,,,,0,,,0,rozvrh
NPRG071,,seminář,0,0,2025,2025,2025,,0,,,1,komentare
NPRG072,,seminář,0,0,2024,2024,2024,,0,,,1,komentare
NSWI035,"Mgr. Tomáš Faltín, Ph.D.",přednáška,1,1,2025,2025,2025Z,2025 / zimní,6,,"2,17",2,anketa_cisla
NSWI035,"RNDr. Filip Zavoral, Ph.D.",přednáška,1,13,2004,2025,2004Z|2006Z|2011Z|2013Z|2014Z|2015Z|2016Z|2017Z|2018Z|2020Z|2021Z|2024Z|2025Z,2004 / zimní|2006 / zimní|2011 / zimní|2013 / zimní|2014 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2020 / zimní|2021 / zimní|2024 / zimní|2025 / zimní,131,,,3,anketa_cisla
NSWI035,,přednáška,0,0,2023,2025,2023|2025,,0,,,6,komentare
NSWI166,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,4,komentare
NSWI166,"doc. Mgr. Ladislav Peška, Ph.D.",přednáška,0,3,2022,2024,2022Z|2023L|2024L,2022 / zimní|2023 / letní|2024 / letní,15,,,4,anketa_cisla
NSWI166,,cvičení,0,0,2023,2023,2023,,0,,,1,komentare
NSWI166,"doc. Mgr. Ladislav Peška, Ph.D.",cvičení,0,0,2023,2023,2023,,0,,,1,komentare
NTIN066,"Mgr. Pavel Veselý, Ph.D.",cvičení,1,12,2017,2025,2017Z|2018Z|2018L|2019Z|2019L|2020Z|2021Z|2022Z|2023Z|2023L|2024Z|2025Z,2017 / zimní|2018 / zimní|2018 / letní|2019 / zimní|2019 / letní|2020 / zimní|2021 / zimní|2022 / zimní|2023 / zimní|2023 / letní|2024 / zimní|2025 / zimní,184,,,6,anketa_cisla
NTIN066,Mgr. Petr Chmel,cvičení,1,0,2023,2025,2023|2024|2025,,0,,,7,komentare
NTIN066,"RNDr. Jiří Fink, Ph.D.",cvičení,1,2,2023,2024,2023Z|2024Z,2023 / zimní|2024 / zimní,13,,"1,94",5,anketa_cisla
NTIN066,"RNDr. Jiří Fink, Ph.D.",přednáška,1,5,2016,2024,2016Z|2017Z|2018Z|2022Z|2024Z,2016 / zimní|2017 / zimní|2018 / zimní|2022 / zimní|2024 / zimní,74,,"2,91",3,anketa_cisla
NTIN066,Domes Tomáš,cvičení,1,0,,,,,0,,,0,rozvrh
NTIN066,,cvičení,0,0,2023,2025,2023|2024|2025,,0,,,15,komentare
NTIN066,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,18,komentare
NTIN066,"Mgr. Pavel Veselý, Ph.D.",přednáška,0,16,2015,2025,2015Z|2016Z|2017Z|2018Z|2018L|2019Z|2019L|2020Z|2021Z|2021L|2022Z|2023Z|2023L|2024Z|2024L|2025Z,2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2018 / letní|2019 / zimní|2019 / letní|2020 / zimní|2021 / zimní|2021 / letní|2022 / zimní|2023 / zimní|2023 / letní|2024 / zimní|2024 / letní|2025 / zimní,283,,,10,anketa_cisla
NTIN066,"RNDr. Radek Hušek, Ph.D.",cvičení,0,5,2018,2024,2018L|2020Z|2022Z|2023Z|2024Z,2018 / letní|2020 / zimní|2022 / zimní|2023 / zimní|2024 / zimní,32,,"1,26",0,anketa_cisla
NTIN066,"prof. Mgr. Michal Koucký, Ph.D.",přednáška,0,4,2014,2024,2014Z|2015Z|2021Z|2024L,2014 / zimní|2015 / zimní|2021 / zimní|2024 / letní,115,,"1,47",0,anketa_cisla
NTIN066,"Mgr. Martin Mareš, Ph.D.",přednáška,0,4,2017,2023,2017Z|2018L|2019Z|2023Z,2017 / zimní|2018 / letní|2019 / zimní|2023 / zimní,72,,"1,10",5,anketa_cisla
NTIN066,"RNDr. David Mareček, Ph.D.",cvičení,0,1,2023,2023,2023L,2023 / letní,6,,"2,17",1,anketa_cisla
NTIN066,"doc. Mgr. Petr Gregor, Ph.D.",přednáška,0,4,2019,2023,2019L|2020Z|2021L|2023L,2019 / letní|2020 / zimní|2021 / letní|2023 / letní,37,,"1,68",1,anketa_cisla
NTIN066,"prof. Mgr. Michal Koucký, Ph.D.",cvičení,0,1,2021,2021,2021Z,2021 / zimní,6,,"1,50",0,anketa_cisla
NTIN066,"RNDr. Ondřej Mička, Ph.D.",cvičení,0,3,2019,2020,2019L|2019Z|2020Z,2019 / letní|2019 / zimní|2020 / zimní,17,,"1,43",0,anketa_cisla
NTIN066,"Mgr. Martin Mareš, Ph.D.",cvičení,0,1,2018,2018,2018L,2018 / letní,6,,"1,00",0,anketa_cisla
NTIN066,"doc. Andreas Emil Feldmann, Dr.",přednáška,0,1,2016,2016,2016Z,2016 / zimní,10,,"3,50",0,anketa_cisla
NTIN066,"prof. RNDr. Václav Koubek, DrSc.",přednáška,0,5,2003,2008,2003Z|2004Z|2006Z|2007Z|2008Z,2003 / zimní|2004 / zimní|2006 / zimní|2007 / zimní|2008 / zimní,124,,,0,anketa_cisla
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,1,10,2015,2025,2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2021Z|2023Z|2024Z|2025Z,2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,264,,,5,anketa_cisla
NTIN090,"RNDr. Petr Kučera, Ph.D.",cvičení,1,11,2013,2025,2013Z|2014Z|2015Z|2016Z|2018Z|2019Z|2020Z|2021Z|2023Z|2024Z|2025Z,2013 / zimní|2014 / zimní|2015 / zimní|2016 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,189,,"1,52",14,anketa_cisla
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,1,12,2013,2025,2013Z|2014Z|2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2021Z|2023Z|2024Z|2025Z,2013 / zimní|2014 / zimní|2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,286,,"1,67",28,anketa_cisla
NTIN090,,cvičení,0,0,2023,2025,2023|2024|2025,,0,,,15,komentare
NTIN090,,přednáška,0,0,2023,2025,2023|2024|2025,,0,,,22,komentare
NTIN090,"Mgr. Vladan Majerech, Dr.",přednáška,0,10,2015,2025,2015Z|2016Z|2017Z|2018Z|2019Z|2020Z|2021Z|2023Z|2024Z|2025Z,2015 / zimní|2016 / zimní|2017 / zimní|2018 / zimní|2019 / zimní|2020 / zimní|2021 / zimní|2023 / zimní|2024 / zimní|2025 / zimní,274,,,0,anketa_cisla
NTIN090,"RNDr. Jakub Bulín, Ph.D.",cvičení,0,2,2020,2021,2020Z|2021Z,2020 / zimní|2021 / zimní,11,,"2,15",0,anketa_cisla
NTIN090,"doc. Mgr. Petr Gregor, Ph.D.",cvičení,0,2,2013,2019,2013Z|2019Z,2013 / zimní|2019 / zimní,22,,"1,50",0,anketa_cisla
NTIN090,"RNDr. Jiří Fink, Ph.D.",cvičení,0,1,2017,2017,2017Z,2017 / zimní,13,,"4,23",0,anketa_cisla
NTIN090,"RNDr. Jiří Fink, Ph.D.",přednáška,0,1,2017,2017,2017Z,2017 / zimní,14,,"4,00",0,anketa_cisla
