kod,nazev,anglicky,semestr,kredity,rozsah,examinace,stav,forma,pracoviste,garant,vyucujici,neslucitelnost
NAIL100,Seminář strojového učení a modelování 2,Seminar of machine learning and modelling 2,letní,2,0/1,Z,vyučován,seminář,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. RNDr. Ing. Martin Holeňa, CSc.","prof. RNDr. Ing. Martin Holeňa, CSc.",
NMAI165,Praktikum z pravděpodobnostních metod,Practical Course in Probability Methods,zimní,3,0/2,Z,vyučován,cvičení,Katedra softwarového inženýrství (32-KSI),"prof. RNDr. Jaromír Antoch, CSc.","prof. RNDr. Jaromír Antoch, CSc.",
NDMI096,Analýza komplexních sítí,Complex network analysis,letní,6,2/2,Z+Zk,vyučován,přednáška+cvičení,Informatický ústav Univerzity Karlovy (32-IUUK),"doc. Ing. et Ing. David Hartman, Ph.D. et Ph.D.","doc. Ing. et Ing. David Hartman, Ph.D. et Ph.D. Mgr. Dávid Kubek",
NOPT046,Diskrétní a spojitá optimalizace,Discrete and Continuous Optimization,letní,5,2/2,Z+Zk,vyučován,přednáška+cvičení,Katedra aplikované matematiky (32-KAM),"prof. Mgr. Milan Hladík, Ph.D. prof. RNDr. Martin Loebl, CSc.","prof. Mgr. Milan Hladík, Ph.D. prof. RNDr. Martin Loebl, CSc.",NOPX046
NTIN114,Proudové algoritmy pro velká data,Streaming algorithms for Big Data,zimní,3,2/0,Zk,vyučován,přednáška,Informatický ústav Univerzity Karlovy (32-IUUK),"Mgr. Pavel Veselý, Ph.D.","Mgr. Pavel Veselý, Ph.D.",
NAIL021,Booleovské funkce a jejich aplikace,Boolean Functions and Their Applications,zimní,3,2/0,Zk,vyučován,přednáška,Katedra teoretické informatiky a matematické logiky (32-KTIML),"prof. RNDr. Ondřej Čepek, Ph.D.","prof. RNDr. Ondřej Čepek, Ph.D.",
NOPT021,Algoritmy moderní teorie her,Modern Algoritmic Game Theory,zimní,5,2/2,Z+Zk,vyučován,přednáška+cvičení,Katedra aplikované matematiky (32-KAM),"prof. RNDr. Martin Loebl, CSc.","Mgr. Radovan Haluška Mgr. Martin Schmid, Ph.D.",
NDBI021,Uživatelské preference a pokročilé metody doporučování,User preferences and advanced recommending methods,zimní,4,2/1,Z+Zk,vyučován,přednáška+seminář,Katedra softwarového inženýrství (32-KSI),"doc. Mgr. Ladislav Peška, Ph.D.","doc. Mgr. Ladislav Peška, Ph.D.",
NSWI166,Úvod do doporučovacích systémů a uživatelských preferencí,Introduction to recommender systems and user preferences,letní,4,2/1,Z+Zk,vyučován,přednáška+cvičení,Katedra softwarového inženýrství (32-KSI),"doc. Mgr. Ladislav Peška, Ph.D.","doc. Mgr. Ladislav Peška, Ph.D.",NDBI037
NSWI035,Principy distribuovaných systémů,Principles of Distributed Systems,zimní,3,2/0,Zk,vyučován,přednáška,Katedra softwarového inženýrství (32-KSI),"RNDr. Filip Zavoral, Ph.D.","Mgr. Tomáš Faltín, Ph.D. RNDr. Filip Zavoral, Ph.D.",
NPRG072,Zvýšený rozsah projektu,Increased project scope,oba,3,0/2,Z,vyučován,seminář,Katedra softwarového inženýrství (32-KSI),"RNDr. Filip Zavoral, Ph.D. doc. RNDr. Petr Hnětynka, Ph.D.","doc. RNDr. Tomáš Dvořák, CSc. RNDr. Tomáš Holan, Ph.D.",NPRG023
