kod,paralelka,typ,jazyk,zapsano,kapacita,skupiny
NOPT021,26aNOPT021x01,X,čeština,0,,N#IN310 N#IN325 N#IN336 N#IN914 N#IN952 N#XI310 N#XI325 N#XI336 N#XI914 N#XI952
NPFL097,26aNPFL097p1,P,angličtina,0,,N#IN914 N#IN952 N#XI914 N#XI952
NPFL097,26aNPFL097x01,X,angličtina,0,,N#IN914 N#IN952 N#XI914 N#XI952
NPFL099,26aNPFL099p1,P,angličtina,0,,N#IN024 N#IN025 N#IN364 N#IN624 N#IN630 N#IN924 N#IN930
NPFL099,26aNPFL099x01,X,angličtina,0,,N#IN024 N#IN025 N#IN364 N#IN624 N#IN630 N#IN924 N#IN930
NPFL118,26aNPFL118x01,X,angličtina,0,,
NPFL147,26aNPFL147p1,P,angličtina,0,,
NPFL147,26aNPFL147x01,X,angličtina,0,,
NPGR002,26aNPGR002p1,P,čeština,0,,N#IB651 N#IN329 N#IN330 N#IN334 N#IN338 N#IN339 N#IN340 N#IN341 N#IN346 N#MM609 N#MM711 N#OI634 N#OI635 N#OI636 N#OI644 N#OM650 N#OM651 N#PR634 N#PR644 N#PR645 N#SD639 N#SD649
NPGR035,26aNPGR035p1,P,čeština,0,25,
NPGR035,26aNPGR035p2,P,angličtina,0,5,
NPGR035,26aNPGR035x01,X,angličtina,0,15,
NPGR035,26aNPGR035x02,X,angličtina,0,15,
NPGR035,26aNPGR035x03,X,angličtina,0,15,
NPRG070,26aNPRG070x01,X,čeština,0,,N#IA025 N#MI030 N#MP030
NSWI035,26aNSWI035p1,P,čeština,0,,N#IN322 N#IN329 N#IN330 N#IN334 N#IN338 N#IN339 N#IN340 N#IN341 N#IN346 N#IN916 N#IN946 N#IN947 N#IN948 N#IN949 N#IN950 N#IN951 N#IN953 N#XI322 N#XI329 N#XI330 N#XI334 N#XI338 N#XI339 N#XI340 N#XI341 N#XI346 N#XI916 N#XI946 N#XI947 N#XI948 N#XI949 N#XI950 N#XI951 N#XI953
